Статьи затрат для PL,Статьи затрат PL в 1 C,guid,kod,PL группа 1
Расходы по процентам,Погашение процентов,0x812A000C29EF79CA11E97C772D604B24,00-000057,Расходы на проценты
Расходы по процентам,Расходы по процентам,0x80D900155D01C90111E7F9AB65D3CEEC,00-000043,Расходы на проценты
"Расходы склада, спецодежда","Прочие складские расходы (спецодежда, расходные материалы)",0xA23F00155D01C80911E9F0DACB9D25C8,00-000084,Расходы по Логистике
"Расходы, связанные с торговыми акциями","Расходы, связанные с торговыми акциями",0xA23F00155D01C80911E9F16347A6C7E8,00-000102,Расходы группы развитие продуктов
РБП,Лицензия (РБП),0xAF90D4F5EF10792511ECF07E7F446C43,00-000169,Прочие Операционные расходы
Регистрация продукции,Регистрация продукции,0xA23F00155D01C80911E9F0D5F81366B1,00-000080,Расходы по торговле
Рекламные и обучающие мероприятия,Рекламные и обучающие мероприятия,0xA23F00155D01C80911E9F1636EBBE519,00-000103,Расходы группы развитие продуктов
Ремонт картиджей,"Покупка, ремонт и обслуживание картриджей",0xA23F00155D01C80911E9EE6D42A673C8,00-000065,Прочие Административные расходы
Ремонт ОС 2-группы,Модернизация ОС,0xAF95D4F5EF10792511ED777C40DC7E20,00-000176,Прочие Административные расходы
Ремонт ОС 2-группы,Ремонт и обслуживание компьютеров и орг.техники,0x861700155D01C90111E6F75FC5A310A7,00-000021,Прочие Административные расходы
Ремонт ОС 2-группы,Ремонт и обслуживание офисного оборудования,0xA23F00155D01C80911E9F61747503531,00-000122,Прочие Административные расходы
Ремонт ОС 4-группы,Ремонт и обслуживание автотранспорта,0x801E00155D01C90111E6E20373CC1C0D,00-000005,Прочие Операционные расходы
Ремонт офиса,Ремонт и обслуживание помещений (офис),0xA23F00155D01C80911E9F6178A728616,00-000123,Прочие Административные расходы
Ремонт складов,Ремонт и обслуживание помещений (склады),0xA23F00155D01C80911E9F158EC2439A7,00-000086,Расходы по Логистике
"СВХ услуги, радиационное обследование","СВХ услуги, радиационное обследование",0x970000155D01C90111E7169886E06833,00-000028,Расходы по Логистике
Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,0x80DE000C29E67B2E11E628A464E5C170,,Себестоимость реализованной продукции
Сервисный сбор,Сервисный сбор,0x83C700155D01C90111E7025247C554A9,00-000024,Прочие Операционные расходы
Сертификация,Сертификация,0xA21F7085C2A4312A11E9FC84426BB338,00-000128,Расходы по Логистике
Скидка,Скидки с цены и продаж,0xA2277085C2A4312A11EA1C2B1A3D8B9C,00-000006,Скидка
Сотовая связь,Мобильная связь,0xA23F00155D01C80911E9F164F8966D70,00-000108,Прочие Административные расходы
Сотовая связь,Услуги связи,0x861700155D01C90111E6F39522C19B80,00-000018,Прочие Административные расходы
Списание дебиторской задолженности,Закрытие резервов по сомнительным долгам,0x80DE000C29E67B2E11E628A464E5C163,УТ-000006,Доход/Расход от переоценки статей баланса
Списание дебиторской задолженности,Списание дебиторской задолженности,0xAF8ED4F5EF10792511ECAFE584DB6306,00-000164,Доход/Расход от переоценки статей баланса
Списание дебиторской задолженности,Списание задолженности покупателей по договору цессии,0xAF8AD4F5EF10792511EC5327DBC15622,00-000159,Доход/Расход от переоценки статей баланса
Списание дебиторской задолженности,Формирование резервов по сомнительным долгам,0x80DE000C29E67B2E11E628A464E5C171,УТ-000008,Доход/Расход от переоценки статей баланса
Списание кредиторской задолженности,Списание кредиторской задолженности,0xAF98D4F5EF10792511ED9E36DDB33DE6,00-000180,Прочие доходы
"Списание товара на экспертизу, не идущие на вычет","Списание товара на экспертизу, не идущие на вычет",0xA22B7085C2A4312A11EA847D44E8681B,00-000138,Доход/Расход от переоценки статей баланса
"Списание товаров на складе (порча, недостачи)","Списание товаров на складе (порча, недостачи)",0xA23F00155D01C80911E9F159080FF816,00-000087,Доход/Расход от переоценки статей баланса
Списание убытков прошлых лет за счет прибыли,Списание убытков прошлых лет за счет прибыли,0xA2307085C2A4312A11EAEC6FE2F9377F,УТ-000021,Доход/Расход от переоценки статей баланса
Списание штрафов,Списание штрафов,0xAF90D4F5EF10792511ECF786F52CAE8B,00-000172,Расходы по торговле
Страхование автотранспорта,Страхование автотранспорта,0xA2337085C2A4312A11EB24C560ED5A67,00-000146,Расходы по торговле
Страхование ГПО сотрудников,Страхование ГПО сотрудников,0xA23F00155D01C80911E9F165F87B3820,00-000112,Прочие Административные расходы
Страхование груза,Страхование груза,0xAF8ED4F5EF10792511ECB7D5FC9913F6,00-000166,Доп. транспортные расходы
Страхование имущества,Страхование имущества,0xA2307085C2A4312A11EAD89B9F03461B,00-000143,Прочие Операционные расходы
Страховая выплата,Страховая выплата,0xA22B7085C2A4312A11EA83C7D31D6022,00-000007,Прочие доходы
Страховые премии,Страховые премии,0xAF7ED4F5EF10792511EBC359ABA160F3,00-000008,Прочие доходы
Сувенирная раздатка: ключевые клиенты,Сувенирная раздатка: ключевые клиенты,0xA23F00155D01C80911E9F163B7174381,00-000104,Расходы группы развитие продуктов
Сувенирная раздатка: массовка,Сувенирная раздатка: массовка,0xA23F00155D01C80911E9F163CDD7D1E0,00-000105,Расходы группы развитие продуктов
Таможенные платежи,Таможенные платежи,0x80D3000C2910767B11E5E125C0C80DD8,УТ-000008,Доп. транспортные расходы
Тех компания,Транспортные расходы (Outline),0xA23F00155D01C80911E9F0CC4121CC8A,00-000074,Прочие Административные расходы
Транспортные расходы,Транспортные расходы (доставка от поставщика),0xA23F00155D01C80911E9F159B283211F,00-000088,Расходы по Логистике
Транспортные расходы,Транспортные расходы (доставка покупателю),0xA23F00155D01C80911E9EC017975D331,00-000063,Расходы по Логистике
Транспортные расходы,Транспортные расходы (доставка с СВХ на наш склад),0xAF86D4F5EF10792511EBF37DB81C4C25,00-000157,Расходы по Логистике
Транспортные расходы,Транспортные расходы (перемещения товара),0x80D3000C2910767B11E5D6215F9EB51D,УТ-000007,Расходы по Логистике
Транспортные расходы (LTD),Транспортные расходы (LTD),0xA2267085C2A4312A11EA158414FD7B3B,00-000131,Доп. транспортные расходы
Транспортные услуги для поступлений товаров,Транспортные услуги для поступлений товаров,0x80D3000C2910767B11E5D61BBCC1882E,УТ-000006,Расходы по Логистике
Транспортные услуги для поступлений товаров(Импорт),Транспортные услуги для поступлений товаров(Импорт),0xA21B7085C2A4312A11E9BA6FAE16B1EB,00-000061,Расходы по Логистике
Услуги грузчиков,Услуги грузчиков,0xA23F00155D01C80911E9F159FFCDEC86,00-000089,Расходы по Логистике
Услуги нотариуса,Услуги нотариуса,0xA23F00155D01C80911E9F16668EBE2B8,00-000115,Прочие Административные расходы
"Услуги программистов, техподдержка ПО","Услуги программистов, техподдержка ПО",0xA23F00155D01C80911E9EE6DFDA8D558,00-000068,Расходы группы развитие продуктов
Услуги такси,Услуги такси,0xA23F00155D01C80911E9F0D4B317ED00,00-000077,Доп. транспортные расходы
Услуги Элеватора,Услуги элеватора (трейдинг),0xA23F00155D01C80911E9F15A50BDC23B,00-000091,Прочие Операционные расходы
Услуги Элеватора,Услуги элеватора (трейдинг) расходы периода,0xAF98D4F5EF10792511EDB9879035564F,00-000182,Прочие Операционные расходы
Утилизация тары,Утилизация тары,0x80C500155D01C90111E7865B8FD10872,00-000038,Доход/Расход от переоценки статей баланса
Штрафы и платежи в бюджет,Расходы по штрафам пеням неустойкам прочие,0xA22B7085C2A4312A11EA57B1639A3DC3,00-000133,Прочие Операционные расходы
Штрафы и платежи в бюджет,"Штрафы, пени (в бюджет)",0xA2207085C2A4312A11EA075BB2AF6092,00-000129,Прочие Операционные расходы
Штрафы и платежи в бюджет,"Штрафы, пени (по договорам)",0x8107000C29EF79CA11E8D74694E755AD,00-000054,Прочие Операционные расходы
Юридические услуги,Выполнение условий договора,0xAF8ED4F5EF10792511ECACBE4D9167EA,00-000163,Прочие Административные расходы
Юридические услуги,Прочие юридические расходы,0xA23F00155D01C80911E9F166347200A7,00-000113,Прочие Административные расходы
Юридические услуги,Судебные пошлины,0xA23F00155D01C80911E9F1664FBCD205,00-000114,Прочие Административные расходы
Юридические услуги,Услуги ЧСИ,0xA23F00155D01C80911E9F1667B211CB1,00-000116,Прочие Административные расходы
Юридические услуги,Членские взносы,0xA23F00155D01C80911E9F0D4E920AE8C,00-000078,Прочие Административные расходы
Юридические услуги,Юридические услуги,0x883700155D01C90111E6F1E222F2B308,00-000017,Прочие Административные расходы
